,,,,,Crimes,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE/UT,District,Year,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
RAJASTHAN,GANGANAGAR,2002,63,94,0,54,0,54,60,52,8,0,1,9,211,441,121,320,8,80,435,0,14,1159,19,100,1,391,0,145,2108,5393
RAJASTHAN,HANUMANGARH,2002,65,97,1,40,0,40,34,27,7,1,0,9,145,343,63,280,27,23,284,4,18,607,19,95,1,227,0,88,1739,3867
RAJASTHAN,JAIPUR,2002,85,116,10,57,0,57,256,221,35,2,4,78,982,3000,1137,1863,2699,233,1423,17,65,1482,32,187,0,517,0,765,7653,19663
RAJASTHAN,JAISALMER,2002,7,0,0,3,0,3,5,4,1,0,0,6,61,157,11,146,25,3,22,1,10,1,5,13,0,17,0,37,544,917
RAJASTHAN,JALORE,2002,19,23,2,11,0,11,32,25,7,0,0,8,111,177,23,154,30,13,88,4,37,49,10,77,0,84,0,75,1737,2587
RAJASTHAN,JHALAWAR,2002,44,71,5,61,0,61,82,60,22,2,0,12,186,356,83,273,121,9,79,2,57,1065,7,150,11,210,0,87,881,3498
RAJASTHAN,JHUNJHUNU,2002,44,25,0,12,0,12,49,31,18,5,0,9,138,313,59,254,252,15,142,2,45,146,15,65,0,122,0,128,2670,4197
RAJASTHAN,JODHPUR,2002,38,69,2,33,0,33,104,76,28,2,0,43,383,938,342,596,140,66,430,3,46,2597,17,157,5,267,0,241,1542,7123
RAJASTHAN,KARAULI,2002,19,17,1,21,0,21,58,31,27,1,0,14,38,260,40,220,90,10,79,0,25,17,15,57,0,55,0,63,2084,2924
RAJASTHAN,KOTA,2002,56,374,4,37,0,37,160,132,28,2,0,64,381,1058,426,632,159,44,279,1,27,480,6,154,3,319,0,178,2742,6528
RAJASTHAN,NAGAUR,2002,43,30,4,39,0,39,61,28,33,1,0,26,306,446,95,351,42,16,219,0,28,345,14,78,0,153,0,119,2844,4814
RAJASTHAN,PALI,2002,32,74,2,25,0,25,74,59,15,0,0,34,216,332,81,251,88,28,244,5,44,48,14,116,3,205,0,201,3280,5065
RAJASTHAN,RAJSAMAND,2002,18,22,0,9,0,9,60,44,16,0,1,9,91,148,57,91,203,25,98,1,26,1226,7,38,0,74,0,139,392,2587
RAJASTHAN,SAWAI MADHOPUR,2002,27,25,1,21,0,21,52,37,15,2,3,19,104,276,83,193,47,15,187,0,24,57,2,59,0,113,0,48,1922,3004
RAJASTHAN,SIKAR,2002,41,29,5,13,0,13,52,27,25,2,0,2,206,306,54,252,577,12,217,0,49,465,10,42,0,116,0,155,1755,4054
RAJASTHAN,SIROHI,2002,28,26,0,9,0,9,44,37,7,4,0,14,171,147,23,124,46,18,107,6,33,478,3,33,0,83,0,111,952,2313
RAJASTHAN,TONK,2002,22,26,1,18,0,18,90,72,18,1,0,12,101,294,81,213,165,7,120,1,24,1320,1,45,3,169,0,111,1207,3738
RAJASTHAN,UDAIPUR,2002,65,79,4,39,0,39,112,75,37,1,8,29,250,509,206,303,334,32,283,2,62,1589,12,71,0,95,0,262,2550,6388
RAJASTHAN,TOTAL,2002,1276,2043,68,1051,0,1051,2587,2019,568,47,33,734,6661,16313,4706,11607,7178,938,7286,63,1130,26519,399,2730,44,5691,0,4670,63787,151248
